,ADVANC.BK,AOT.BK,AWC.BK,BANPU.BK,BBL.BK,BCP.BK,BDMS.BK,BEM.BK,BH.BK,BJC.BK,BTS.BK,CBG.BK,CCET.BK,COM7.BK,CPALL.BK,CPF.BK,CPN.BK,CRC.BK,DELTA.BK,EGCO.BK,GPSC.BK,HMPRO.BK,IVL.BK,KBANK.BK,KKP.BK,KTB.BK,KTC.BK,LH.BK,MINT.BK,MTC.BK,OR.BK,OSP.BK,PTT.BK,PTTEP.BK,PTTGC.BK,RATCH.BK,SCC.BK,SCGP.BK,TCAP.BK,TISCO.BK,TOP.BK,TRUE.BK,TTB.BK,TU.BK,VGI.BK,WHA.BK
GPSC.BK,0.06973209676107964,0.027645274072479697,0.17092283310559425,0.02667922902588064,0.07629632611670073,0.0929634680663659,0.14226402235115274,0.07969970345231213,0.09080984486689837,0.11902996870216279,0.01571193795472872,0.1053093784504693,0.129875232387848,0.06578536435562311,0.07359976741222878,0.13304234290095648,0.18662871697092195,0.16028960208150533,0.028133465031934854,0.24343064755177038,1.0,0.18791620134059397,0.09875787232137653,0.03249985150853988,0.06222724019255382,-0.004538348858596835,0.0691877442041187,0.21346338554568536,0.14961421488138066,0.2450935916701329,0.005684198421372305,0.15220311542926707,0.22706288970377317,-0.0588487912488973,0.16497108424134554,0.05734637183779977,0.17334849733042335,0.17717591037893302,0.1335090917989646,0.1112869571750218,0.09371304468295798,0.09684538237452497,0.0010937446999244112,0.12419809819957851,0.1002467807819026,0.09685834314550809
HMPRO.BK,0.21555674234049987,0.10370708060043787,0.11744636637057328,0.003493017476006863,0.15661137118662405,0.10278984457490484,0.1412951060312626,0.07441802462973042,0.05591623275360992,0.13579742158747268,0.07242543198536376,0.05836885126881677,0.01765314236295216,0.15367491470797542,0.16659866229636797,0.05974822383646581,0.22013921823067326,0.19583479593261907,0.04182123543472427,0.10061644011458667,0.18791620134059397,1.0,0.008384757915349825,0.07592765752132304,0.027061740459414202,0.06857303878260194,0.02614525918841717,0.22213009893614746,0.10881725143282361,0.20829872974289146,0.026475198206624088,0.09066963280852706,0.17287266372259372,0.04801364507275126,0.09556074185116943,-0.0033590102192080544,0.16121711729240304,0.09658545336740246,0.029030856086268195,0.13674103619106448,0.06261497205247157,0.13431553214126257,0.0583825039294668,0.06506632663753452,0.02187779705165406,0.07459458968243465
IVL.BK,0.0073350517297440555,0.07665420445675541,0.18592511510648277,0.1608096511412764,0.11423640885088344,0.07193457743817451,0.027274927259967784,0.10880944025796875,0.0443222808320839,0.017050302547730527,0.06495998420306323,0.1335741496418418,-0.060787976076888,0.10356858908031293,0.008431257066685776,0.11179870518366684,0.1333648052858364,0.06392465197526728,0.08695810019139662,0.13863400913036858,0.09875787232137653,0.008384757915349825,1.0,0.049506035056460757,0.23659758249957452,0.06588097360446711,0.10336688613127594,0.17423094426088365,0.08085616232440974,0.09372920644741521,0.019940746933806854,0.14728595817942755,0.07642746738488004,0.03980871959946308,0.2446354430004528,0.03752686947109407,0.13148862521900748,0.1832296180263131,0.052753679110084974,0.09184520792938672,0.1598281991524633,0.003506788933555969,-0.1438707300759998,0.0134279537633309,0.025381290578942655,0.037707672090123545
KBANK.BK,0.0694011611052715,0.05656823443460723,-0.0326500676918198,0.07274513451288656,0.22331013120192902,0.04968555979551468,0.07002433678962244,0.062062679168960605,0.006490342710111028,0.003685898803978662,0.0462402849981471,0.10507195597596372,0.012025830915511999,0.173322251482467,0.1067907372416024,-0.00276042751063384,0.07643227029187863,0.030591279523731318,0.053319351435276024,-0.034622739761251894,0.03249985150853988,0.07592765752132304,0.049506035056460757,1.0,-0.010561463594831287,0.12884130596335502,0.03933277970954451,0.049653919893966204,0.021515197943127607,0.0515819133453182,0.09690072946407072,0.04630635635648709,0.041748508812191505,0.03232673823994739,0.03039816637623197,0.04237182638154258,0.049416168787351,-0.023169083139108752,0.014591911448215679,0.056088312089960846,0.11082348142436733,0.0028313791680374743,0.0329712736296701,0.022961283051599158,0.005512335156834264,-0.017040931932890954
KKP.BK,0.1016016292529005,-0.012503385307814908,0.09693537086036548,0.05738077618955785,0.11197284871093688,0.13382007863520828,0.035999852910154985,0.03687433767395501,0.06795275070099831,-0.03797575904105375,0.05649137766240695,0.04852640636855081,0.03616479894032037,0.06903347705761743,0.07072746784546596,0.040543938228240484,0.025608105341068266,0.14495940758081513,0.04474007394184326,0.1070583466149912,0.06222724019255382,0.027061740459414202,0.23659758249957452,-0.010561463594831287,1.0,-0.00470733311306328,0.12546284627008028,0.09250973096944873,0.04941879211282004,0.11515302233941793,-0.0010743126108313866,0.07956962674298515,0.10918068780899617,0.03997186037205511,0.0955573198724135,0.01632915268818269,0.03988406351761268,0.06880088324039824,0.05380512088790041,0.062310554161915,0.06103928550299934,0.0292522884625304,-0.044084242430468455,0.062731728518282,0.061164361263540155,0.08867318484338858
KTB.BK,0.1103650966193205,-0.0276574836812615,0.06589501285719886,0.10259270888251953,0.166780839551421,0.0527389495461995,0.024543569226108078,0.03562342697071625,0.0391780242903831,-0.015132889053789664,-0.0023534513177255172,-0.031114108334751346,0.01599494386699814,0.08418281931269654,0.06135461958906148,0.03997475453136852,0.02334689087828955,0.05358239139457495,0.020678431844110612,0.04352532677145908,-0.004538348858596835,0.06857303878260194,0.06588097360446711,0.12884130596335502,-0.00470733311306328,1.0,0.049200898454997546,0.1395078230678643,-0.01066678919248592,0.04987068249149754,0.03286804712760694,0.01700497149424251,0.11382858312816509,0.05101429612338418,0.07265050869613626,0.04710061068614526,0.04364474972752577,0.033626286610076106,0.04158421133332671,0.10279348873431869,0.16188936662291267,0.01587257805882272,-0.03234500270537024,0.020383997403654968,0.06773684687140366,0.03622433293760392
KTC.BK,0.033048363475640635,-0.006735136038387524,0.13147005116526436,0.0718021409318144,-0.026382515496279197,0.0701750864701154,0.055372711206268715,0.11399092238964068,0.009285160163026822,0.013469310687041675,0.0865690952047491,0.06716129961441442,0.018069505627468,0.01204664102088594,0.13377361268121568,0.08291061929306745,0.024522997371840043,0.04992607938363696,0.015964750777751467,0.17988371844928136,0.0691877442041187,0.02614525918841717,0.10336688613127594,0.03933277970954451,0.12546284627008028,0.049200898454997546,1.0,0.047737647166637635,-0.01211936795326781,0.07791857272087785,-0.003300195962055629,0.11586063750198955,0.08675915334526599,0.07906735414684533,0.10286253069866505,0.0012199155215775366,0.030970700073830654,0.07174327738148338,-0.04408657657205808,-0.08107260488836755,0.022265485990978287,-0.02225220513090356,0.13528125613165198,-0.04946571811509996,-0.040350700679597215,0.019339733819896572
LH.BK,-0.015767310507500874,0.0449028799700392,0.22684360185914368,0.18859878374187522,0.17618207115835935,0.1609402141139222,0.0600246435143508,0.08517626533105037,0.09511096886590319,0.11209806439497332,0.042580312956835155,0.18322760209912348,0.05639635130705277,0.1574109483132781,0.05730099637673317,0.14178347751021386,0.19359416007537228,0.1812094150822514,0.0397695219147428,0.199025030163564,0.21346338554568536,0.22213009893614746,0.17423094426088365,0.049653919893966204,0.09250973096944873,0.1395078230678643,0.047737647166637635,1.0,0.2033241699070826,0.194696733781248,0.018315034850825914,0.14647027849809635,0.19876026147482415,0.09566374887657289,0.24737780914772167,0.06309525925964321,0.18827336318037435,0.1481825981441715,0.1263242238423463,0.18521795322777135,0.0909782511154446,0.06879466305129872,-0.05824962559901453,0.12212375829802657,0.06788926977548085,0.1824086202825343
MINT.BK,0.05447932986135263,0.0028727727903752583,0.16670986006744065,0.0491598466607576,0.07056219392417919,0.08675959040528937,0.08950400249292849,0.06406402061243881,0.03870053163834712,0.17913911453718973,0.04081066792885004,0.14079258264128794,-0.025242105474572146,0.035698626843119544,0.044289665058155334,0.04973684225593744,0.13075659326580474,0.18880079264843883,-0.04422973567509144,0.07756878854867277,0.14961421488138066,0.10881725143282361,0.08085616232440974,0.021515197943127607,0.04941879211282004,-0.01066678919248592,-0.01211936795326781,0.2033241699070826,1.0,0.16008099546872195,0.058924277293460676,0.1367011252723769,0.17623330890743422,0.05350481641450153,0.1180815882038268,0.08889496047431777,0.15903986248623198,0.17653071396556896,0.06485869336644773,0.07024334498557576,0.0776426023855044,0.05313071113150444,0.09326460640436111,0.08500772664936913,-0.0500310732735232,0.047648983009688575
MTC.BK,0.08129741697505434,-0.018723960113989264,0.20042928579232208,0.047684938845897314,0.1508650725547774,0.05456562769673142,0.10821970185981102,0.10302219227484681,0.049377644976973126,0.08669783889487569,0.06275851914112393,0.13313867123597398,0.052601255555132766,0.2291093046076903,0.13271298935598083,0.10150622844554087,0.18494829625730236,0.10527394562464037,0.09007802800827382,0.18722327185199103,0.2450935916701329,0.20829872974289146,0.09372920644741521,0.0515819133453182,0.11515302233941793,0.04987068249149754,0.07791857272087785,0.194696733781248,0.16008099546872195,1.0,0.06724006620046173,0.18032885432391918,0.10399043394650763,-0.003986695824463954,0.15975927551835845,0.042378183637950276,0.09169400685638283,0.08761285621672618,0.05499293801646412,0.21617585976232817,0.0904512224657882,0.09539328690642393,-0.0729358839179994,0.14164862246457746,0.16561503989677995,0.10565919062498662
